t,H,L
1499.0,1.8417773380567102,5.503268545894224
1500.0,1.841775728297152,5.503617796742393
1501.0,1.8417742333629217,5.503966956767807
1502.0,1.8417728531714663,5.504316026175141
1503.0,1.8417715876403715,5.504665005168757
1504.0,1.8417704366873602,5.505013893952703
1505.0,1.8417694002302918,5.505362692730717
1506.0,1.841768478187163,5.505711401706226
1507.0,1.8417676704761066,5.506060021082348
1508.0,1.8417669770153913,5.506408551061889
1509.0,1.8417663977234213,5.5067569918473485
1510.0,1.8417659325187365,5.5071053436409185
1511.0,1.8417655813200113,5.507453606644483
1512.0,1.8417653440460549,5.50780178105962
1513.0,1.8417652206158106,5.508149867087603
1514.0,1.8417652109483558,5.508497864929399
1515.0,1.8417653149629012,5.508845774785674
1516.0,1.8417655325787907,5.509193596856787
1517.0,1.8417658637155014,5.509541331342797
1518.0,1.8417663082926428,5.5098889784434615
1519.0,1.8417668662299562,5.510236538358235
1520.0,1.8417675374473153,5.510584011286275
1521.0,1.8417683218647247,5.510931397426436
1522.0,1.841769219402321,5.511278696977277
1523.0,1.8417702299803707,5.511625910137056
1524.0,1.8417713535192715,5.511973037103735
1525.0,1.841772589939551,5.512320078074981
1526.0,1.8417739391618666,5.512667033248163
1527.0,1.8417754011070055,5.513013902820355
1528.0,1.8417769756958837,5.513360686988338
1529.0,1.8417786628495463,5.513707385948598
1530.0,1.841780462489167,5.514053999897329
1531.0,1.841782374536047,5.514400529030433
1532.0,1.8417843989116165,5.514746973543519
1533.0,1.8417865355374323,5.515093333631907
1534.0,1.841788784335179,5.515439609490626
1535.0,1.8417911452266678,5.515785801314414
1536.0,1.8417936181338366,5.516131909297724
1537.0,1.8417962029787494,5.516477933634718
1538.0,1.8417988996835963,5.516823874519273
1539.0,1.8418017081706932,5.517169732144977
1540.0,1.841804628362481,5.517515506705133
1541.0,1.8418076601815254,5.517861198392762
1542.0,1.8418108035505172,5.5182068074005945
1543.0,1.8418140583922713,5.518552333921082
1544.0,1.841817424629727,5.51889777814639
1545.0,1.8418209021859466,5.519243140268404
1546.0,1.8418244909841166,5.519588420478727
1547.0,1.8418281909475462,5.51993361896868
1548.0,1.8418320019996675,5.520278735929304
1549.0,1.841835924064035,5.520623771551362
1550.0,1.8418399570643254,5.520968726025335
1551.0,1.8418441009243374,5.521313599541428
1552.0,1.841848355567991,5.5216583922895675
1553.0,1.8418527209193276,5.522003104459403
1554.0,1.8418571969025097,5.522347736240308
1555.0,1.8418617834418203,5.52269228782138
1556.0,1.8418664804616625,5.5230367593914425
1557.0,1.84187128788656,5.523381151139043
1558.0,1.8418762056411557,5.523725463252457
1559.0,1.8418812336502124,5.524069695919684
1560.0,1.8418863718386116,5.5244138493284565
1561.0,1.841891620131354,5.524757923666231
1562.0,1.8418969784535586,5.5251019191201935
1563.0,1.8419024467304628,5.525445835877261
1564.0,1.8419080248874218,5.525789674124081
1565.0,1.8419137128499088,5.526133434047029
1566.0,1.841919510543514,5.526477115832216
1567.0,1.8419254178939448,5.526820719665482
1568.0,1.8419314348270253,5.5271642457324015
1569.0,1.8419375612686963,5.527507694218283
1570.0,1.8419437971450148,5.527851065308168
1571.0,1.8419501423821534,5.528194359186832
1572.0,1.8419565969064005,5.528537576038789
1573.0,1.8419631606441598,5.5288807160482865
1574.0,1.84196983352195,5.529223779399309
1575.0,1.841976615466405,5.529566766275577
1576.0,1.8419835064042727,5.5299096768605525
1577.0,1.8419905062624151,5.530252511337434
1578.0,1.8419976149678086,5.530595269889158
1579.0,1.8420048324475427,5.5309379526984035
1580.0,1.8420121586288205,5.531280559947588
1581.0,1.8420195934389583,5.53162309181887
1582.0,1.8420271368053847,5.53196554849415
1583.0,1.8420347886556414,5.532307930155073
1584.0,1.842042548917382,5.532650236983024
1585.0,1.842050417518372,5.532992469159131
1586.0,1.842058394386489,5.53333462686427
1587.0,1.8420664794497212,5.533676710279058
1588.0,1.8420746726361688,5.534018719583858
1589.0,1.8420829738740419,5.53436065495878
1590.0,1.842091383091662,5.534702516583681
1591.0,1.8420999002174607,5.535044304638164
1592.0,1.8421085251799794,5.535386019301579
1593.0,1.842117257907869,5.535727660753027
1594.0,1.8421260983298906,5.536069229171355
1595.0,1.8421350463749142,5.536410724735162
1596.0,1.8421441019719185,5.536752147622795
1597.0,1.8421532650499912,5.537093498012354
1598.0,1.8421625355383282,5.537434776081687
1599.0,1.8421719133662335,5.537775982008398
1600.0,1.8421813984631195,5.538117115969841
1601.0,1.8421909907585055,5.538458178143123
1602.0,1.8422006901820185,5.538799168705106
1603.0,1.8422104966633925,5.539140087832404
1604.0,1.8422204101324684,5.539480935701389
1605.0,1.8422304305191937,5.5398217124881866
1606.0,1.842240557753622,5.540162418368677
1607.0,1.8422507917659132,5.540503053518499
1608.0,1.8422611324863327,5.5408436181130485
1609.0,1.8422715798452518,5.541184112327477
1610.0,1.8422821337731465,5.5415245363366985
1611.0,1.8422927942005984,5.541864890315381
1612.0,1.8423035610582936,5.542205174437954
1613.0,1.8423144342770224,5.542545388878608
1614.0,1.8423254137876797,5.542885533811292
1615.0,1.8423364995212643,5.543225609409718
1616.0,1.842347691408879,5.543565615847359
1617.0,1.8423589893817296,5.543905553297449
1618.0,1.8423703933711253,5.544245421932986
1619.0,1.8423819033084783,5.544585221926733
1620.0,1.8423935191253034,5.544924953451212
1621.0,1.842405240753218,5.545264616678715
1622.0,1.842417068123942,5.545604211781294
1623.0,1.8424290011692968,5.54594373893077
1624.0,1.8424410398212057,5.54628319829873
1625.0,1.8424531840116936,5.5466225900565265
1626.0,1.8424654336728865,5.546961914375278
1627.0,1.8424777887370116,5.5473011714258735
1628.0,1.8424902491363966,5.547640361378968
1629.0,1.8425028148034694,5.547979484404986
1630.0,1.842515485670759,5.5483185406741224
1631.0,1.8425282616708938,5.54865753035634
1632.0,1.842541142736602,5.548996453621373
1633.0,1.8425541288007117,5.549335310638728
1634.0,1.8425672197961498,5.549674101577681
1635.0,1.8425804156559427,5.55001282660728
1636.0,1.8425937163132151,5.550351485896347
1637.0,1.8426071217011908,5.550690079613477
1638.0,1.8426206317531917,5.551028607927037
1639.0,1.8426342464026377,5.55136707100517
1640.0,1.842647965583047,5.551705469015792
1641.0,1.8426617892280348,5.552043802126595
1642.0,1.842675717271314,5.552382070505046
1643.0,1.8426897496466945,5.55272027431839
1644.0,1.8427038862880836,5.553058413733647
1645.0,1.8427181271294848,5.553396488917616
1646.0,1.8427324721049982,5.553734500036871
1647.0,1.84274692114882,5.5540724472577665
1648.0,1.842761474195243,5.5544103307464345
1649.0,1.8427761311786546,5.554748150668788
1650.0,1.8427908920335387,5.555085907190518
1651.0,1.8428057566944744,5.555423600477098
1652.0,1.8428207250961357,5.555761230693779
1653.0,1.8428357971732912,5.556098798005597
1654.0,1.8428509728608045,5.556436302577367
1655.0,1.8428662520936334,5.556773744573689
1656.0,1.84288163480683,5.557111124158943
1657.0,1.8428971209355403,5.557448441497294
1658.0,1.8429127104150038,5.55778569675269
1659.0,1.842928403180554,5.558122890088865
1660.0,1.842944199167617,5.558460021669336
1661.0,1.8429600983117125,5.558797091657406
1662.0,1.8429761005484528,5.5591341002161645
1663.0,1.842992205813543,5.559471047508486
1664.0,1.8430084140427803,5.559807933697034
1665.0,1.843024725172054,5.560144758944255
1666.0,1.8430411391373456,5.560481523412389
1667.0,1.8430576558747283,5.56081822726346
1668.0,1.8430742753203666,5.561154870659282
